배정기준일,현금배당,주식,종목코드,종목명,시장구분,배당구분,명의개서대리인,주식종류,주당배당금,,주당배당률(일반),,주당배당률(차등),,액면가,결산월
,지급일,유통(교부)일,,,,,,,일반,차등,현금,주식,현금,주식,,
20190930,20191030,,169170,제이알제10호위탁관리부동산투자회사,기타비상장,현금배당,하나은행,보통주,0,,0,0,,,5000,03
20190930,20191030,,16917K,제이알제10호위탁관리부동산투자회사1우,기타비상장,현금배당,하나은행,우선주,0,,2.81162684,0,,,5000,03
20190930,20191129,,000650,천일고속,유가증권시장,현금배당,한국예탁결제원,보통주,1000,,20,0,,,5000,12
20190930,20191126,,003070,코오롱글로벌,유가증권시장,현금배당,하나은행,보통주,200,,4,0,,,5000,12
20190930,20191126,,003075,코오롱글로벌1우,유가증권시장,현금배당,하나은행,우선주,200,,4,0,,,5000,12
20190930,20191025,,011280,태림포장,유가증권시장,현금배당,국민은행,보통주,290,,58,0,,,500,12
20190930,20191121,,005490,포스코,유가증권시장,현금배당,국민은행,보통주,2000,,40,0,,,5000,12
20190930,20191025,,004590,한국가구,코스닥시장,현금배당,하나은행,보통주,20,,20,0,,,100,12
20190930,20191125,,034950,한국기업평가,코스닥시장,현금배당,한국예탁결제원,보통주,100,,2,0,,,5000,12
20190930,20191018,,168490,한국투자패러랠유전해외자원개발특별자산투자회사1호지분증권,유가증권시장,현금배당,한국예탁결제원,보통주,45,,1.07015457788347,0,,,0,03
20190930,,,042520,한스바이오메드,코스닥시장,현금배당,국민은행,보통주,120,,24,0,,,500,09
20190930,20191119,,018880,한온시스템,유가증권시장,현금배당,국민은행,보통주,80,,80,0,,,100,12
20190927,20191018,,155900,바다로19호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.59452055,0,,,5000,12
20190920,20191004,,083370,동북아12호선박투자회사,유가증권시장,현금배당,한국예탁결제원,보통주,0,,1.51232876,0,,,5000,12
20190916,20190930,,172580,하이골드오션12호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.636986,0,,,5000,12
20190916,20190930,,153360,하이골드오션3호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.356712,0,,,5000,12
20190916,20190930,,159650,하이골드오션8호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.152876,0,,,5000,12
20190905,20190920,,152550,한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권),유가증권시장,현금배당,한국예탁결제원,보통주,50,,1.40016802016242,0,,,0,12
20190831,20191224,,093380,풍강,코스닥시장,현금배당,국민은행,보통주,60,,12,0,,,500,08
20190831,20190920,,099340,하나UBS암바토비니켈해외자원개발투자,유가증권시장,현금배당,한국예탁결제원,보통주,380,,7.6,0,,,0,08
20190831,20190920,,099350,하나UBS암바토비니켈해외자원개발투자,유가증권시장,현금배당,한국예탁결제원,보통주,380,,7.6,0,,,0,08
20190830,20190925,,191390,바디프랜드,기타비상장,현금배당,국민은행,보통주,0,,191,0,,,100,12
20190827,20190918,,155900,바다로19호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.55616438,0,,,5000,12
20190816,20190830,,172580,하이골드오션12호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.657534,0,,,5000,12
20190816,20190830,,153360,하이골드오션3호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.368219,0,,,5000,12
20190816,20190830,,159650,하이골드오션8호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.157808,0,,,5000,12
20190730,20190812,,083380,동북아13호선박투자회사,유가증권시장,현금배당,한국예탁결제원,보통주,0,,1.49589041,0,,,5000,12
20190729,20190819,,155900,바다로19호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.61369863,0,,,5000,12
20190717,,,203810,국제16호선박투자회사,기타비상장,현금배당,하나은행,보통주,0,,0,100,,.99243844409,5000,12
20190717,,,203810,국제16호선박투자회사,기타비상장,현금배당,하나은행,보통주,0,,0,100,,,5000,12
20190717,20190801,,203810,국제16호선박투자회사,기타비상장,현금배당,하나은행,보통주,0,0,.75616,0,0,,5000,12
20190715,20190731,,172580,하이골드오션12호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.575342,0,,,5000,12
20190715,20190731,,153360,하이골드오션3호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.322191,0,,,5000,12
20190715,20190730,,159650,하이골드오션8호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.138082,0,,,5000,12
20190630,20190809,,025000,KPX케미칼,유가증권시장,현금배당,국민은행,보통주,500,,10,0,,,5000,12
20190630,20190813,,092230,KPX홀딩스,유가증권시장,현금배당,국민은행,보통주,600,,12,0,,,5000,12
20190630,20190830,,010950,S-OIL,유가증권시장,현금배당,국민은행,보통주,100,,4,0,,,2500,12
20190630,20190830,,010955,S-OIL1우,유가증권시장,현금배당,국민은행,우선주,100,,4,0,,,2500,12
20190630,20190822,,034730,SK,유가증권시장,현금배당,한국예탁결제원,보통주,1000,,500,0,,,200,12
20190630,20190822,,03473K,SK1우,유가증권시장,현금배당,한국예탁결제원,우선주,1000,,500,0,,,200,12
20190630,20190821,,096770,SK이노베이션,유가증권시장,현금배당,하나은행,보통주,1600,,32,0,,,5000,12
20190630,20190821,,096775,SK이노베이션1우,유가증권시장,현금배당,하나은행,우선주,1600,,32,0,,,5000,12
20190630,20190821,,017670,SK텔레콤,유가증권시장,현금배당,국민은행,보통주,1000,,200,0,,,500,12
20190630,20190906,,114090,그랜드코리아레저,유가증권시장,현금배당,한국예탁결제원,보통주,130,,26,0,,,500,12
20190630,20190809,,083420,그린케미칼,유가증권시장,현금배당,국민은행,보통주,50,,10,0,,,500,12
20190630,20190814,,013700,까뮤이앤씨,유가증권시장,현금배당,하나은행,보통주,10,,2,0,,,500,12
20190630,20190801,,019680,대교,유가증권시장,현금배당,한국예탁결제원,보통주,100,,20,0,,,500,12
20190630,20190801,,019685,대교 1우,유가증권시장,현금배당,한국예탁결제원,우선주,100,,20,0,,,500,12
20190630,,,178600,대동고려삼,코넥스시장,현금배당,국민은행,보통주,0,,0,0,,,500,06
20190630,,,17860K,대동고려삼1우,기타비상장,현금배당,국민은행,우선주,35,,7,0,,,500,06
20190630,,,17860L,대동고려삼2우,기타비상장,현금배당,국민은행,2우선주,30,,6,0,,,500,06
20190630,20190822,,067080,대화제약,코스닥시장,현금배당,하나은행,보통주,50,,10,0,,,500,12
20190630,20190723,,084670,동양고속,유가증권시장,현금배당,하나은행,보통주,700,,14,0,,,5000,12
20190630,20190814,,000150,두산,유가증권시장,현금배당,하나은행,보통주,1300,,26,0,,,5000,12
20190630,20190814,,000155,두산1우,유가증권시장,현금배당,하나은행,우선주,1300,,26,0,,,5000,12
20190630,20190814,,000157,두산2우,유가증권시장,현금배당,하나은행,2우선주,1300,,26,0,,,5000,12
20190630,20190813,,241560,두산밥캣,유가증권시장,현금배당,한국예탁결제원,보통주,600,,120,0,,,500,12
20190630,20190812,,038390,레드캡투어,코스닥시장,현금배당,국민은행,보통주,200,,40,0,,,500,12
20190630,20190823,,004990,롯데지주,유가증권시장,현금배당,한국예탁결제원,보통주,300,,150,0,,,200,12
20190630,20190823,,00499K,롯데지주1우,유가증권시장,현금배당,한국예탁결제원,우선주,300,,150,0,,,200,12
20190630,20190802,,012700,리드코프,코스닥시장,현금배당,국민은행,보통주,50,,10,0,,,500,12
20190630,20191017,,001080,만호제강,유가증권시장,현금배당,한국예탁결제원,보통주,200,,20,0,,,1000,06
20190630,20190830,,088980,맥쿼리한국인프라투융자회사,유가증권시장,현금배당,한국예탁결제원,보통주,350,,6.42319691686548,0,,,0,12
20190630,20190725,,002840,미원상사,유가증권시장,현금배당,하나은행,보통주,150,,3,0,,,500,12
20190630,20190725,,268280,미원스페셜티케미칼(신설),유가증권시장,현금배당,한국예탁결제원,보통주,500,,100,0,,,500,12
20190630,20190820,,005930,삼성전자,유가증권시장,현금배당,한국예탁결제원,보통주,354,,354,0,,,100,12
20190630,20190820,,005935,삼성전자1우,유가증권시장,현금배당,한국예탁결제원,우선주,354,,354,0,,,100,12
20190630,20190814,,225190,삼양옵틱스,코스닥시장,현금배당,한국예탁결제원,보통주,400,,80,0,,,500,12
